username,artist,album,song,date
VikingIrishman,Amorphis,Tales From the Thousand Lakes,Light My Fire,27 Sep 2010 16:24
VikingIrishman,Placebo,Sleeping with Ghosts (Bonus Disc),Running Up That Hill,27 Sep 2010 16:19
VikingIrishman,Selena Gomez & the Scene,Kiss & Tell,Naturally,27 Sep 2010 16:13
VikingIrishman,Matthew Morrison,South Pacific (The New Broadway Cast Recording),Younger Than Springtime,27 Sep 2010 16:10
VikingIrishman,Glee Cast,,Papa Don't Preach,27 Sep 2010 16:09
VikingIrishman,Lea Michele,Spring Awakening,The Word Of Your Body (Original Broadway Cast Recording/2006),19 Sep 2010 02:15
VikingIrishman,Glee Cast,,My Life Would Suck Without You,19 Sep 2010 02:12
VikingIrishman,Santana,Greatest Hits,Black Magic Woman/Gypsy Queen,19 Sep 2010 02:05
VikingIrishman,ZZ Top,Greatest Hits,Doubleback,19 Sep 2010 02:00
VikingIrishman,Eric Clapton,Crossroads,Lay Down Sally,19 Sep 2010 01:55
VikingIrishman,Creedence Clearwater Revival,Platinum,Proud Mary,19 Sep 2010 01:52
VikingIrishman,Supertramp,Breakfast In America,The Logical Song,19 Sep 2010 01:47
VikingIrishman,Eagles,Hell Freezes Over,Hotel California,19 Sep 2010 01:41
VikingIrishman,Avantasia,The Scarecrow,Lost in Space,12 Sep 2010 15:20
VikingIrishman,Rhapsody of Fire,Triumph or Agony,Il Canto del Vento,12 Sep 2010 15:16
VikingIrishman,Kamelot,Karma,Temples Of Gold,12 Sep 2010 15:12
VikingIrishman,MTO USA Inc.,KURULIN FUSION Original Soundtrack,Rendition of Jesu Joy of Man's Desiring,12 Sep 2010 14:52
VikingIrishman,Zerlina,Palis,Terra's Theme,12 Sep 2010 14:48
VikingIrishman,Ambulance Ltd,LP,Primitive (The Way I Treat You),12 Sep 2010 14:44
VikingIrishman,At Risk Reset,Risk?,Bachelorette (Hitting It Off Mix),12 Sep 2010 14:40
VikingIrishman,housethegrate,,Final Fantasy 6 Seized with Fury OC ReMix,12 Sep 2010 14:34
VikingIrishman,Scott Peeples,www.ocremix.org - OCR00320-OCR00339,Zelda: Link's Awakening Mysterious Groove OC ReMix,12 Sep 2010 14:30
VikingIrishman,Tostigroover,ReMixes,One Two Battle!,12 Sep 2010 14:27
VikingIrishman,Aaron Ackerson,non-album tracks,Final Fantasy 4 Chocobo (Strings And Winds) Oc Removed,12 Sep 2010 14:24
VikingIrishman,Matias Puumala,AmppiSound,Return To The Origin,12 Sep 2010 14:21
VikingIrishman,Edenbridge,Sunrise in Eden,Cheyenne Spirit,06 Sep 2010 19:40
VikingIrishman,Angtoria,God Has a Plan for Us All,Hell Hath No Fury Like a Woman Scorned,06 Sep 2010 19:35
VikingIrishman,Lacuna Coil,Unleashed Memories,When a Dead Man Walks,06 Sep 2010 19:29
VikingIrishman,Nightwish,Oceanborn,Swanheart,06 Sep 2010 19:24
VikingIrishman,Krypteria,In Medias Res,No More Lies,06 Sep 2010 19:20
VikingIrishman,Kamelot,Epica,Farewell,06 Sep 2010 19:17
VikingIrishman,Epica,Design Your Universe,Burn to a Cinder,06 Sep 2010 19:11
VikingIrishman,Tristania,World of Glass,Wormwood,06 Sep 2010 19:05
VikingIrishman,Lunatica,Atlantis,World Under Ice,06 Sep 2010 19:00
VikingIrishman,Amberian Dawn,River of Tuoni,River of Tuoni,06 Sep 2010 18:57
VikingIrishman,After Forever,After Forever,Discord,06 Sep 2010 18:52
VikingIrishman,Mercedes,Rock-N-Soul Blvd...,Rainin Around The World,16 Aug 2010 06:45
VikingIrishman,Lea Michele,Spring Awakening,Mama Who Bore Me (Original Broadway Cast Recording/2006),16 Aug 2010 06:43
VikingIrishman,Meryl Streep,Mamma Mia! The Movie Soundtrack (Non-EEA Version),Mamma Mia,16 Aug 2010 06:39
VikingIrishman,Josie and the Pussycats,Josie and the Pussycats,3 Small Words,16 Aug 2010 06:36
VikingIrishman,Claude-Michel Schönberg,,I Dreamed a Dream,16 Aug 2010 06:32
VikingIrishman,Jim Sturgess,Across the Universe,All My Loving,16 Aug 2010 06:29
VikingIrishman,Glee Cast,,Bad Romance,16 Aug 2010 06:24
VikingIrishman,Daniel Day-Lewis,,Guido's Song,16 Aug 2010 06:20
VikingIrishman,Tarzan,The Edgar Rice Burroughs Radio Shows,Mutinous Captain Killed,16 Aug 2010 06:10
VikingIrishman,Evan Rachel Wood,Across the Universe,If I Fell,16 Aug 2010 06:07
VikingIrishman,Amy Adams,Enchanted,True Love's Kiss,16 Aug 2010 06:04
VikingIrishman,Cabaret,Electric Chair Song,Electric End,16 Aug 2010 06:02
VikingIrishman,Dana Fuchs,Across the Universe,Don't Let Me Down,16 Aug 2010 05:58
VikingIrishman,Sophia Loren,Nine,Guarda La Luna,16 Aug 2010 05:55
VikingIrishman,Joel Grey,Wicked,A Sentimental Man (Original Cast Recording/2003),16 Aug 2010 05:54
VikingIrishman,Katy Perry,One of the Boys,Hot n Cold,16 Aug 2010 05:50
VikingIrishman,Nikki Blonsky,Hairspray: Soundtrack To The Motion Picture,You Can't Stop The Beat,16 Aug 2010 05:45
VikingIrishman,Joe Anderson,Across the Universe,Happiness Is a Warm Gun,16 Aug 2010 05:41
VikingIrishman,Andrew Lloyd Webber,Jesus Christ Superstar (disc 1),I Don't Know How To Love Him,16 Aug 2010 05:38
VikingIrishman,Stephen Sondheim,Sondheim Sings Vol. 1: 1962-1972,Send in the clowns,16 Aug 2010 05:35
VikingIrishman,Daniel Day-Lewis,,I Can't Make This Movie,16 Aug 2010 05:33
VikingIrishman,Zac Efron,Hairspray: Soundtrack To The Motion Picture,It Takes Two,16 Aug 2010 05:29
VikingIrishman,Jim Sturgess,Across the Universe,Across the Universe,16 Aug 2010 05:26
VikingIrishman,James Marsden,Hairspray: Soundtrack To The Motion Picture,The Nicest Kids In Town,16 Aug 2010 05:23
VikingIrishman,Evan Rachel Wood,Across the Universe,Black Bird,16 Aug 2010 05:20
VikingIrishman,Kate Hudson,Nine,Cinema Italiano (The Ron Fair Remix),16 Aug 2010 05:16
VikingIrishman,Kerry Muzzey,Home Movies,Looking Back,16 Aug 2010 05:14
VikingIrishman,Disney,,Walt Disney Interview (Interview),16 Aug 2010 05:11
VikingIrishman,High School Musical,,Right Here Right Now,16 Aug 2010 05:07
VikingIrishman,Renée Zellweger,Chicago  - Music From The Miramax Motion Picture,Roxie,16 Aug 2010 05:03
VikingIrishman,Cabaret,Electric Chair Song,Dawn Mist Glowing (Radio Version),16 Aug 2010 05:00
VikingIrishman,Britannia High Cast,,Start of Something,16 Aug 2010 04:57
VikingIrishman,Nikki Blonsky,Hairspray: Soundtrack To The Motion Picture,I Can Hear The Bells,16 Aug 2010 04:53
VikingIrishman,Mercedes,Rock-N-Soul Blvd...,Purple Rain,16 Aug 2010 04:49
VikingIrishman,Matthew Morrison,South Pacific (The New Broadway Cast Recording),You've Got To Be Carefully Taught,16 Aug 2010 04:47
VikingIrishman,Lea Michele,Spring Awakening,Mama Who Bore Me (Reprise) (Original Broadway Cast Recording/2006),16 Aug 2010 04:45
VikingIrishman,Richard Gere,Chicago  - Music From The Miramax Motion Picture,Razzle Dazzle,16 Aug 2010 04:41
VikingIrishman,Zac Efron,Hairspray - Soundtrack to the Motion Picture,Ladies' Choice,16 Aug 2010 04:39
VikingIrishman,Grease,Written Scripturez,Feel So Good (feat. Skandal Da Ruckus Man,16 Aug 2010 04:35
VikingIrishman,Joe Anderson,Across the Universe,Hey Jude,16 Aug 2010 04:30
VikingIrishman,Joel Grey,Wicked,Wonderful (Original Cast Recording/2003),16 Aug 2010 04:25
VikingIrishman,Kerry Muzzey,Kerry Muzzey | Trailer Music & Shine Highlights,Burying Our Dead (Choral),16 Aug 2010 04:22
VikingIrishman,Neil Patrick Harris,Assassins: The Broadway Cast Recording,The Ballad of Czolgosz,16 Aug 2010 04:19
VikingIrishman,Elijah Kelley,Hairspray: Soundtrack To The Motion Picture,Run And Tell That,16 Aug 2010 04:15
VikingIrishman,Evan Rachel Wood,Across the Universe,It Won't Be Long,16 Aug 2010 04:13
VikingIrishman,Brittany Snow,Hairspray: Soundtrack To The Motion Picture,The New Girl In Town,16 Aug 2010 04:11
VikingIrishman,Matthew Morrison,South Pacific (The New Broadway Cast Recording),Reprise: Younger than Springtime,16 Aug 2010 04:10
VikingIrishman,James Marsden,Hairspray: Soundtrack To The Motion Picture,(It's) Hairspray,16 Aug 2010 04:07
VikingIrishman,Mercedes,No Limit Greatest Hits,It's Your Thing,16 Aug 2010 04:03
VikingIrishman,Lea Michele,Spring Awakening,Whispering (Original Broadway Cast Recording/2006),16 Aug 2010 04:00
VikingIrishman,Glee Cast,On My Own (Glee Cast Version),On My Own,16 Aug 2010 03:56
VikingIrishman,Ke$ha,Animal,Stephen,16 Aug 2010 01:59
VikingIrishman,Katy Perry,One of the Boys,Ur So Gay,16 Aug 2010 01:55
VikingIrishman,Rihanna,Good Girl Gone Bad,Umbrella,16 Aug 2010 01:50
VikingIrishman,HELL & LULA,Catch up! Catch up!,Set the World on Fire,16 Aug 2010 01:46
VikingIrishman,Eva Simons,Silly Boy,Silly Boy,16 Aug 2010 01:43
VikingIrishman,Lady Gaga,The Fame Monster,Speechless,16 Aug 2010 01:38
VikingIrishman,Stratovarius,The Chosen Ones,Father Time,16 Aug 2010 01:29
VikingIrishman,Serenity,Fallen Sanctuary,All Lights Reversed,16 Aug 2010 01:23
VikingIrishman,Leaves' Eyes,Lovelorn,Into Your Light,16 Aug 2010 01:17
VikingIrishman,Derdian,New Era Pt. 2: War of the Gods,Why,16 Aug 2010 01:03
VikingIrishman,Edenbridge,Aphelion,The Final Curtain,16 Aug 2010 00:58
VikingIrishman,Ayreon,Into the Electric Castle,Welcome to the New Dimension,16 Aug 2010 00:55
VikingIrishman,Demons & Wizards,Demons & Wizards,White Room,16 Aug 2010 00:50
VikingIrishman,Dragonland,Holy War,A Thousand Points of Light,16 Aug 2010 00:44
VikingIrishman,Helloween,Treasure Chest,Where The Rain Grows,16 Aug 2010 00:39
VikingIrishman,Nightwish,Dark Passion Play,Bye Bye Beautiful,16 Aug 2010 00:35
VikingIrishman,Firewind,Allegiance,Insanity,16 Aug 2010 00:30
VikingIrishman,HammerFall,Renegade,Renegade,16 Aug 2010 00:26
VikingIrishman,Edguy,Hellfire Club,Lavatory Love Machine,16 Aug 2010 00:21
VikingIrishman,Rhapsody of Fire,The Frozen Tears Of Angels,Reign Of Terror,16 Aug 2010 00:14
VikingIrishman,Avantasia,The Wicked Symphony,Wastelands,16 Aug 2010 00:10
VikingIrishman,Kamelot,Ghost Opera,Up Through the Ashes,16 Aug 2010 00:05
VikingIrishman,Unexpect,In A Flesh Aquarium,Chromatic Chimera,15 Aug 2010 23:50
VikingIrishman,Diablo Swing Orchestra,The Butcher's Ballroom,Infralove,15 Aug 2010 23:45
VikingIrishman,Chris Hardwick,Comedy Death Ray,Comedy Death Ray (Comedy Death Ray),15 Aug 2010 02:00
VikingIrishman,William Shatner,,What Have You Done?,15 Aug 2010 01:58
VikingIrishman,The Rutles,Archaeology,The Knicker Elastic King,15 Aug 2010 01:55
VikingIrishman,Richard Cheese,The Sunny Side of the Moon: The Best of Richard Cheese,Down With the Sickness,15 Aug 2010 01:53
VikingIrishman,Rodney Carrington,King Of The Mountains,Show Them To Me,15 Aug 2010 01:50
VikingIrishman,The Arrogant Worms,Live Bait,Proud to be Canadian,15 Aug 2010 01:45
VikingIrishman,Da Vinci's Notebook,Brontosaurus,Enormous Penis,15 Aug 2010 01:43
VikingIrishman,Weird Al Yankovic,,Your Horoscope for Today,15 Aug 2010 01:39
VikingIrishman,Hard 'n Phirm,Horses and Grasses,An Intro,15 Aug 2010 01:38
VikingIrishman,Josh Woodward,Crawford Street,Cherry,15 Aug 2010 01:34
VikingIrishman,Lemon Demon,Hip to the Javabean Bonus Tracks,There's a Robot In My Head,15 Aug 2010 01:33
VikingIrishman,Stephen Lynch,Superhero,Talk To Me,15 Aug 2010 01:29
VikingIrishman,Brian Regan,Live,Stupid In School,15 Aug 2010 01:24
VikingIrishman,Indigo Girls,Rites of Passage,Cedar Tree,15 Aug 2010 01:20
VikingIrishman,Mike Doughty,Haughty Melodic,Your Misfortune,15 Aug 2010 01:17
VikingIrishman,The Simpsons,The Simpsons Testify,Jellyfish,15 Aug 2010 01:15
VikingIrishman,Jonathan Coulton,Thing a Week III,Drinking with You,15 Aug 2010 01:12
VikingIrishman,Jim Gaffigan,Beyond the Pale,Packaging (Album Version),15 Aug 2010 01:10
VikingIrishman,Maria Bamford,The Burning Bridges Tour,Touched By an Angel,15 Aug 2010 01:08
VikingIrishman,The Great Luke Ski,I Can Has Fump? - Volume 3D: May-June 07,Man From Dunder,15 Aug 2010 01:04
VikingIrishman,Daniel Tosh,True Stories I Made Up,Please Light Me (Album Version),15 Aug 2010 00:58
VikingIrishman,Garfunkel and Oates,Music Songs,The End,15 Aug 2010 00:58
VikingIrishman,Group X,Project X,Intro,15 Aug 2010 00:57
VikingIrishman,Denis Leary,Lock 'N Load,Fuck The Kennedys,15 Aug 2010 00:56
VikingIrishman,Erin McKeown,We Will Become Like Birds,Float,15 Aug 2010 00:52
VikingIrishman,Patton Oswalt,,Beautiful People and a Bridge Troll,15 Aug 2010 00:49
VikingIrishman,James Kochalka Superstar,Monkey vs. Robot,I Am Rock,15 Aug 2010 00:48
VikingIrishman,Eric Idle,The Rutland Isles,Gay Animal Song (Comedy),15 Aug 2010 00:46
VikingIrishman,Lewis Black,The End of The Universe,Coke and Pepsi and The Super Bowl of 2001,15 Aug 2010 00:39
VikingIrishman,Eddie Izzard,Circle,Talk to the Animals,15 Aug 2010 00:37
VikingIrishman,Jim's Big Ego,Don't Get Smart,Ambition,15 Aug 2010 00:31
VikingIrishman,Hard 'n Phirm,Horses and Grasses,American Dinosaurs,15 Aug 2010 00:27
VikingIrishman,Worm Quartet,Stupid Video Game Music,Too Fat For The Pit,15 Aug 2010 00:25
VikingIrishman,Colin Hay,Men At Work Brazil 96,Overkill,15 Aug 2010 00:22
VikingIrishman,Indigo Girls,Indigo Girls,Prince of Darkness,15 Aug 2010 00:16
VikingIrishman,Thea Gilmore,Recorded Delivery,You And Frank Sinatra,15 Aug 2010 00:12
VikingIrishman,Jonathan Coulton,Thing a Week Two,Curl,15 Aug 2010 00:09
VikingIrishman,The Dan Band,Ho,Please Don't Bomb Nobody This Holiday,15 Aug 2010 00:05
VikingIrishman,Monty Python,Sings,Money Song,15 Aug 2010 00:04
VikingIrishman,Tom Lehrer,That Was The Year That Was,Pollution,15 Aug 2010 00:02
