username,artist,album,song,date
ibprivat,Lady Gaga,,So Happy I Could Die,02 Feb 2014 10:56
ibprivat,Alicia Keys,,No One,02 Feb 2014 10:53
ibprivat,Corinne Bailey Rae,,Put Your Records On,02 Feb 2014 10:49
ibprivat,Duffy,,Warwick Avenue,02 Feb 2014 10:45
ibprivat,Jessie J,,Breathe,02 Feb 2014 10:41
ibprivat,Lily Allen,,Littlest Things,02 Feb 2014 10:38
ibprivat,Kelly Clarkson,,Hello,02 Feb 2014 10:35
ibprivat,Coldplay,,Talk,02 Feb 2014 10:30
ibprivat,Christina Perri,,Jar of Hearts,02 Feb 2014 10:26
ibprivat,Amy Winehouse,,Our Day Will Come,02 Feb 2014 10:22
ibprivat,Leona Lewis,,Fireflies,02 Feb 2014 10:19
ibprivat,ClickClickDecker,,der ganze halbe liter,01 Feb 2014 09:23
ibprivat,Jupiter Jones,,ImmerFürImmer,01 Feb 2014 09:20
ibprivat,Bee Gees & Peter Frampton,null,A Day In The Life,16 Jan 2014 17:46
ibprivat,Peter Frampton,Gold,Do You Feel Like We Do [Live],16 Jan 2014 17:18
ibprivat,My Chemical Romance,The Black Parade,Welcome to the Black Parade,16 Jan 2014 16:09
ibprivat,Slipknot,All Hope Is Gone (Special Edition),Snuff,16 Jan 2014 16:06
ibprivat,OneRepublic,Native,Counting Stars,16 Jan 2014 15:59
ibprivat,Chris Isaak,Wicked Game,Wicked Game,16 Jan 2014 15:52
ibprivat,Oasis,(What's the Story) Morning Glory?,Wonderwall,16 Jan 2014 15:49
ibprivat,The Who,,Won't Get Fooled Again,16 Jan 2014 15:46
ibprivat,Green Day,Warning,Minority,16 Jan 2014 15:43
ibprivat,Snow Patrol,Eyes Open,Chasing Cars,16 Jan 2014 15:39
ibprivat,Neil Young,Harvest,Old Man,16 Jan 2014 15:37
ibprivat,ONE OK ROCK,The Beginning,The Beginning,16 Jan 2014 15:30
ibprivat,Imagine Dragons,Night Visions,On Top of the World,16 Jan 2014 15:26
ibprivat,Sum 41,All Killer No Filler,Fat Lip,16 Jan 2014 15:16
ibprivat,Adam Lambert,Trespassing,Trespassing,16 Jan 2014 15:10
ibprivat,Queen,Greatest Hits,Bohemian Rhapsody,16 Jan 2014 15:08
ibprivat,St. Vincent,St. Vincent,Birth in Reverse,16 Jan 2014 15:02
ibprivat,Bruce Springsteen,The River,Drive All Night,16 Jan 2014 14:57
ibprivat,Oasis,(What's the Story) Morning Glory?,Champagne Supernova,16 Jan 2014 14:50
ibprivat,The Who,,Won't Get Fooled Again,16 Jan 2014 14:42
ibprivat,Green Day,Warning,Minority,16 Jan 2014 14:41
ibprivat,Snow Patrol,Eyes Open,Chasing Cars,16 Jan 2014 14:35
ibprivat,Neil Young,Harvest,Old Man,16 Jan 2014 14:33
ibprivat,ONE OK ROCK,The Beginning,The Beginning,16 Jan 2014 14:31
ibprivat,Imagine Dragons,Night Visions,On Top of the World,16 Jan 2014 14:24
ibprivat,Sum 41,All Killer No Filler,Fat Lip,16 Jan 2014 14:13
ibprivat,Adam Lambert,Trespassing,Trespassing,16 Jan 2014 14:10
ibprivat,Queen,Greatest Hits,Bohemian Rhapsody,16 Jan 2014 14:08
ibprivat,St. Vincent,St. Vincent,Birth in Reverse,16 Jan 2014 14:01
ibprivat,Bruce Springsteen,The River,Drive All Night,16 Jan 2014 13:54
ibprivat,Oasis,(What's the Story) Morning Glory?,Champagne Supernova,16 Jan 2014 13:46
ibprivat,Toto,Past to Present 1977-1990,Rosanna,16 Jan 2014 13:22
ibprivat,SALES,VOLUME 02,toto,16 Jan 2014 13:18
ibprivat,Toto,Past to Present 1977-1990,Hold the Line,16 Jan 2014 13:16
ibprivat,Toto,Past to Present 1977-1990,Africa,16 Jan 2014 13:07
ibprivat,Sting,...All This Time,A Thousand Years,16 Jan 2014 12:34
ibprivat,David Bowie,Hours (Digital Deluxe Version),Thursday's Child,16 Jan 2014 12:29
ibprivat,Johnny Warman,Soundtrack Classics: The Crying Game,Screaming Jets,16 Jan 2014 12:23
ibprivat,Suzanne Vega,RetroSpective: The Best Of Suzanne Vega,Solitude Standing,16 Jan 2014 12:18
ibprivat,Annie Lennox,The Annie Lennox Collection,Precious,16 Jan 2014 12:13
ibprivat,Robert Plant,Now and Zen,Ship Of Fools - 2006 Remastered,16 Jan 2014 12:08
ibprivat,Jackson Browne,The Next Voice You Hear - The Best Of Jackson Browne,Lives in the Balance,16 Jan 2014 12:04
ibprivat,Supertramp,Even in the Quietest Moments,From Now On,16 Jan 2014 11:58
ibprivat,Men at Work,Business As Usual,Down By the Sea,16 Jan 2014 11:50
ibprivat,Evanescence,Fallen,Everybody's Fool,16 Jan 2014 11:39
ibprivat,Evanescence,Fallen,Everybody's Fool,16 Jan 2014 11:35
ibprivat,Evanescence,Fallen,Bring Me to Life,29 Dec 2013 01:30
ibprivat,Michael Bublé,,A Foggy Day (in London Town),18 Dec 2013 13:13
ibprivat,Adam Lambert,Beg For Mercy,Pop Goes The Camera,18 Dec 2013 13:10
ibprivat,Michael Bublé,Michael Bublé,Sway,18 Dec 2013 13:06
ibprivat,Mariah Carey,E=MC²,Touch My Body,18 Dec 2013 13:03
ibprivat,Jennifer Lopez,J.Lo,I'm Gonna Be Alright,18 Dec 2013 12:59
ibprivat,Etta James,That's All,Then I'll Care,18 Dec 2013 12:57
ibprivat,Jason Mraz,Waiting for My Rocket to Come,Sleep All Day,18 Dec 2013 12:52
ibprivat,Destiny's Child,The Writing's on the Wall,Jumpin' Jumpin',18 Dec 2013 12:48
ibprivat,Taylor Swift,Taylor Swift,Tim McGraw,18 Dec 2013 12:44
ibprivat,Ingrid Michaelson,Girls and Boys,The Way I Am,18 Dec 2013 12:42
ibprivat,Lily Allen,Alright Still,Friday Night,18 Dec 2013 12:38
ibprivat,Kelly Clarkson,All I Ever Wanted,The Day We Fell Apart,18 Dec 2013 12:34
ibprivat,Mariah Carey,#1's,My All,18 Dec 2013 12:26
ibprivat,Evanescence,The Open Door,Good Enough,18 Dec 2013 12:12
ibprivat,Lily Allen,Alright Still,Not Big,18 Dec 2013 12:09
ibprivat,Sarah McLachlan,Surfacing,Full of Grace,18 Dec 2013 12:05
ibprivat,Lady Gaga,The Fame,Poker Face,18 Dec 2013 12:01
ibprivat,Etta James,R&B Dynamite,That's All,18 Dec 2013 11:59
ibprivat,Michael Jackson,Not Guilty (Special Fan Edition),You Rock My World,18 Dec 2013 11:53
ibprivat,Ingrid Michaelson,Be OK,The Way I Am (Recorded Live on WERS),18 Dec 2013 11:51
ibprivat,Corinne Bailey Rae,Corinne Bailey Rae,Put Your Records On,18 Dec 2013 11:47
ibprivat,Lily Allen,Alright Still (Deluxe),Alfie,18 Dec 2013 11:45
ibprivat,Michael Bublé,Michael Bublé,Come Fly With Me,18 Dec 2013 11:41
ibprivat,Adam Lambert,,Ring of Fire,18 Dec 2013 11:38
ibprivat,Michael Bublé,It's Time,Save the Last Dance for Me,18 Dec 2013 11:34
ibprivat,Ellie Goulding,Bright Lights,Lights,18 Dec 2013 11:31
ibprivat,Prince & The Revolution,Purple Rain,Purple Rain,06 Dec 2013 13:46
ibprivat,Joe Jackson,Look Sharp,One More Time,06 Dec 2013 13:41
ibprivat,Joe Jackson,Body And Soul,You Can't Get What You Want (Till You Know What You Want),06 Dec 2013 13:36
ibprivat,Joe Jackson,Night And Day,Real Men,06 Dec 2013 13:32
ibprivat,Joe Jackson,Joe Jackson Live 1980 - 1986,Real men - live,06 Dec 2013 13:24
ibprivat,Joe Jackson,Tonight & Forever : The Joe Jackson Collection,Be My Number Two,06 Dec 2013 13:20
ibprivat,Joe Jackson,Tonight & Forever : The Joe Jackson Collection,It's Different For Girls,06 Dec 2013 13:16
ibprivat,Joe Jackson,Tonight & Forever : The Joe Jackson Collection,Is She Really Going Out With Him?,06 Dec 2013 13:13
ibprivat,Joe Jackson,Night And Day,Steppin' Out,06 Dec 2013 13:06
ibprivat,Evanescence,Fallen,Bring Me to Life,06 Dec 2013 13:01
ibprivat,The Rolling Stones,Rolled Gold +,19th Nervous Breakdown,26 Oct 2013 16:20
ibprivat,Bruce Springsteen,The River,The Ties That Bind,26 Oct 2013 16:17
ibprivat,Gary U.S. Bonds,Dedication,New Orleans,26 Oct 2013 16:14
ibprivat,The Horrible Crowes,Elsie,Ladykiller,26 Oct 2013 16:09
ibprivat,Fleetwood Mac,The Dance,Tusk,26 Oct 2013 16:06
ibprivat,Tom Petty and The Heartbreakers,Anthology: Through the Years,Mary Jane's Last Dance,26 Oct 2013 16:01
ibprivat,The Horrible Crowes,Elsie,Sugar,26 Oct 2013 15:53
ibprivat,Van Morrison,The Best of Van Morrison,Moondance,26 Oct 2013 15:50
ibprivat,U2,The Best of 1980 - 1990 / B Sides,Sunday Bloody Sunday,15 Oct 2013 15:44
ibprivat,U2,The Best of 1980 - 1990 / B Sides,Sunday Bloody Sunday,15 Oct 2013 15:44
ibprivat,Nickelback,When We Stand Together,When We Stand Together,15 Oct 2013 15:41
ibprivat,Linkin Park,Meteora,Faint,14 Oct 2013 13:01
ibprivat,Red Hot Chili Peppers,Stadium Arcadium,Dani California,14 Oct 2013 12:56
ibprivat,Foo Fighters,One by One,All My Life,14 Oct 2013 12:52
ibprivat,Volbeat,Guitar Gangsters & Cadillac Blood,Still Counting,14 Oct 2013 12:48
ibprivat,Black Sabbath,Paranoid,Paranoid,14 Oct 2013 12:44
ibprivat,Iggy Pop,Lust For Life,The Passenger,14 Oct 2013 12:32
ibprivat,Guns N' Roses,Appetite for Destruction,Welcome to the Jungle,14 Oct 2013 12:27
ibprivat,Franz Ferdinand,Franz Ferdinand,Take Me Out,14 Oct 2013 12:23
ibprivat,The Rolling Stones,Let It Bleed,Gimme Shelter,14 Oct 2013 12:18
ibprivat,Bullet for My Valentine,The Poison,Tears Don't Fall,14 Oct 2013 12:12
ibprivat,The Offspring,Americana,The Kids Aren't Alright,14 Oct 2013 12:09
ibprivat,Green Day,American Idiot,Wake Me Up When September Ends,14 Oct 2013 12:04
ibprivat,Foo Fighters,Best of You,Best of You,14 Oct 2013 12:00
ibprivat,Bon Jovi,Cross Road (Sound & Vision),Livin On A Prayer,14 Oct 2013 11:56
ibprivat,Amy Winehouse,Grammy Nominees 2008,Rehab,14 Oct 2013 11:49
ibprivat,Diana Ross,Diana,I'm Coming Out,07 Oct 2013 09:37
ibprivat,Whitney Houston,Bodyguard,I Have Nothing,07 Oct 2013 09:32
ibprivat,Kim Carnes,Mistaken Identity,Bette Davis Eyes,07 Oct 2013 09:28
ibprivat,Ike & Tina Turner,Proud Mary - the Best of Ike and Tina Turner,A Fool In Love,07 Oct 2013 09:25
ibprivat,Christina Aguilera,Bionic,Vanity,07 Oct 2013 09:20
